pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
1015.0,4,24.6,21.1,160.0,4.0,-1.3680805733026755,3.7587704831436333,,58362,2013-09-09,31.4,121.46,4.0,48.66
1000.0,138,23.4,20.2,150.0,6.0,-2.9999999999999996,5.196152422706632,,58362,2013-09-09,31.4,121.46,4.0,48.66
995.0,182,23.0,20.2,145.0,6.0,-3.4414586181062754,4.9149122657339515,,58362,2013-09-09,31.4,121.46,4.0,48.66
975.0,359,21.4,20.0,158.0,5.0,-1.8730329670795611,4.635919272833936,,58362,2013-09-09,31.4,121.46,4.0,48.66
932.0,751,20.6,14.6,185.0,4.0,0.3486229709906318,3.984778792366982,,58362,2013-09-09,31.4,121.46,4.0,48.66
925.0,816,20.2,14.2,190.0,4.0,0.6945927106677219,3.939231012048832,,58362,2013-09-09,31.4,121.46,4.0,48.66
919.0,872,19.8,14.2,190.0,4.0,0.6945927106677219,3.939231012048832,,58362,2013-09-09,31.4,121.46,4.0,48.66
850.0,1542,15.4,14.0,250.0,4.0,3.7587704831436337,1.3680805733026742,,58362,2013-09-09,31.4,121.46,4.0,48.66
827.0,1775,13.4,12.6,273.0,7.0,6.9904067432820165,-0.3663516937006076,,58362,2013-09-09,31.4,121.46,4.0,48.66
811.0,1940,16.2,13.5,289.0,10.0,9.45518575599317,-3.255681544571563,,58362,2013-09-09,31.4,121.46,4.0,48.66
810.0,1951,16.2,13.4,290.0,10.0,9.396926207859083,-3.4202014332566897,,58362,2013-09-09,31.4,121.46,4.0,48.66
778.0,2291,14.8,10.9,275.0,16.0,15.939115169467929,-1.3944918839625262,,58362,2013-09-09,31.4,121.46,4.0,48.66
700.0,3184,11.2,4.2,270.0,17.0,17.0,3.1228493378257506e-15,,58362,2013-09-09,31.4,121.46,4.0,48.66
682.0,3402,10.4,2.4,271.0,17.0,16.99741081765865,-0.2966909094338132,,58362,2013-09-09,31.4,121.46,4.0,48.66
595.0,4521,2.8,-2.5,275.0,17.0,16.935309867559674,-1.4816476267101841,,58362,2013-09-09,31.4,121.46,4.0,48.66
580.0,4730,1.4,-3.4,265.0,18.0,17.93150456565142,1.5688033694578485,,58362,2013-09-09,31.4,121.46,4.0,48.66
569.0,4884,0.8,-9.2,258.0,18.0,17.6066568132085,3.7424104347196763,,58362,2013-09-09,31.4,121.46,4.0,48.66
544.0,5244,-1.5,-8.5,241.0,19.0,16.61777443564852,9.2113827846804,,58362,2013-09-09,31.4,121.46,4.0,48.66
542.0,5273,-1.7,-9.1,240.0,19.0,16.45448267190433,9.500000000000009,,58362,2013-09-09,31.4,121.46,4.0,48.66
500.0,5910,-6.1,-21.1,250.0,19.0,17.85415979493226,6.498382723187702,,58362,2013-09-09,31.4,121.46,4.0,48.66
498.0,5941,-6.5,-21.5,251.0,20.0,18.910371511986337,6.511363089143133,,58362,2013-09-09,31.4,121.46,4.0,48.66
471.0,6371,-8.5,-25.4,260.0,23.0,22.650578319280786,3.9939080863393976,,58362,2013-09-09,31.4,121.46,4.0,48.66
429.0,7091,-11.9,-31.8,235.0,21.0,17.202192930068822,12.045105163371973,,58362,2013-09-09,31.4,121.46,4.0,48.66
402.0,7592,-14.3,-36.3,249.0,23.0,21.472349809435638,8.242462839541917,,58362,2013-09-09,31.4,121.46,4.0,48.66
400.0,7630,-14.5,-37.5,250.0,23.0,21.612930278075893,7.866463296490377,,58362,2013-09-09,31.4,121.46,4.0,48.66
360.0,8403,-20.4,-40.4,260.0,17.0,16.741731801207536,2.952019020337816,,58362,2013-09-09,31.4,121.46,4.0,48.66
300.0,9740,-30.5,-45.5,255.0,19.0,18.352590699492296,4.917561856947892,,58362,2013-09-09,31.4,121.46,4.0,48.66
280.0,10224,-35.1,-47.1,255.0,20.0,19.318516525781366,5.176380902050413,,58362,2013-09-09,31.4,121.46,4.0,48.66
261.0,10705,-39.2,-50.6,255.0,21.0,20.284442352070435,5.435199947152933,,58362,2013-09-09,31.4,121.46,4.0,48.66
250.0,11000,-41.7,-52.7,255.0,23.0,22.21629400464857,5.952838037357974,,58362,2013-09-09,31.4,121.46,4.0,48.66
200.0,12480,-53.9,-63.9,265.0,27.0,26.89725684847713,2.353205054186773,,58362,2013-09-09,31.4,121.46,4.0,48.66
195.0,12642,-55.7,-65.7,265.0,27.0,26.89725684847713,2.353205054186773,,58362,2013-09-09,31.4,121.46,4.0,48.66
185.0,12971,-57.4,,265.0,27.0,26.89725684847713,2.353205054186773,,58362,2013-09-09,31.4,121.46,4.0,48.66
150.0,14280,-64.1,,270.0,17.0,17.0,3.1228493378257506e-15,,58362,2013-09-09,31.4,121.46,4.0,48.66
143.0,14571,-65.1,,272.0,15.0,14.990862405286437,-0.5234924505375192,,58362,2013-09-09,31.4,121.46,4.0,48.66
135.0,14914,-66.8,,275.0,12.0,11.954336377100947,-1.0458689129718945,,58362,2013-09-09,31.4,121.46,4.0,48.66
117.0,15764,-71.2,,255.0,10.0,9.659258262890683,2.5881904510252065,,58362,2013-09-09,31.4,121.46,4.0,48.66
108.0,16240,-73.6,,260.0,8.0,7.878462024097664,1.3891854213354426,,58362,2013-09-09,31.4,121.46,4.0,48.66
105.0,16408,-74.5,,275.0,7.0,6.973362886642219,-0.6100901992336052,,58362,2013-09-09,31.4,121.46,4.0,48.66
100.0,16690,-75.7,,300.0,6.0,5.196152422706632,-3.000000000000001,,58362,2013-09-09,31.4,121.46,4.0,48.66
99.8,16702,-75.9,,300.0,6.0,5.196152422706632,-3.000000000000001,,58362,2013-09-09,31.4,121.46,4.0,48.66
94.0,17050,-74.9,,325.0,2.0,1.147152872702093,-1.6383040885779832,,58362,2013-09-09,31.4,121.46,4.0,48.66
87.0,17500,-73.7,,35.0,4.0,-2.294305745404184,-3.276608177155967,,58362,2013-09-09,31.4,121.46,4.0,48.66
81.0,17916,-72.6,,80.0,4.0,-3.939231012048832,-0.6945927106677217,,58362,2013-09-09,31.4,121.46,4.0,48.66
75.0,18364,-71.3,,90.0,6.0,-6.0,-3.6739403974420594e-16,,58362,2013-09-09,31.4,121.46,4.0,48.66
73.9,18450,-71.1,,87.0,7.0,-6.9904067432820165,-0.3663516937006078,,58362,2013-09-09,31.4,121.46,4.0,48.66
70.0,18770,-69.5,,75.0,10.0,-9.659258262890683,-2.5881904510252074,,58362,2013-09-09,31.4,121.46,4.0,48.66
54.7,20266,-64.3,,79.0,17.0,-16.687662118610287,-3.2437529214012635,,58362,2013-09-09,31.4,121.46,4.0,48.66
50.0,20820,-62.5,,80.0,19.0,-18.711347307231954,-3.2993153756716778,,58362,2013-09-09,31.4,121.46,4.0,48.66
43.0,21756,-59.9,,75.0,23.0,-22.21629400464857,-5.952838037357977,,58362,2013-09-09,31.4,121.46,4.0,48.66
40.5,22128,-58.9,,81.0,26.0,-25.679896855473583,-4.067296091046004,,58362,2013-09-09,31.4,121.46,4.0,48.66
37.0,22701,-57.2,,90.0,29.0,-29.0,-1.7757378587636622e-15,,58362,2013-09-09,31.4,121.46,4.0,48.66
30.0,24030,-53.3,,105.0,25.0,-24.148145657226706,6.470476127563021,,58362,2013-09-09,31.4,121.46,4.0,48.66
22.0,26026,-51.9,,75.0,25.0,-24.148145657226706,-6.4704761275630185,,58362,2013-09-09,31.4,121.46,4.0,48.66
20.0,26640,-51.5,,80.0,31.0,-30.529040343378448,-5.383093507674843,,58362,2013-09-09,31.4,121.46,4.0,48.66
18.0,27325,-50.5,,87.0,30.0,-29.958886042637214,-1.570078687288319,,58362,2013-09-09,31.4,121.46,4.0,48.66
15.0,28524,-49.1,,100.0,29.0,-28.559424837354033,5.035797152340979,,58362,2013-09-09,31.4,121.46,4.0,48.66
13.0,29465,-48.0,,95.0,29.0,-28.88964624466062,2.5275165396820887,,58362,2013-09-09,31.4,121.46,4.0,48.66
10.8,30684,-46.5,,,,,,,58362,2013-09-09,31.4,121.46,4.0,48.66
