pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
1007.0,4,32.2,23.2,115.0,6.0,-5.4378467222199,2.535709570444196,,58362,2016-07-25 12:00:00,31.4,121.46,4.0,31.41
1000.0,65,31.8,21.8,120.0,8.0,-6.92820323027551,3.9999999999999982,,58362,2016-07-25 12:00:00,31.4,121.46,4.0,31.41
988.0,173,30.9,21.4,135.0,12.0,-8.485281374238571,8.48528137423857,,58362,2016-07-25 12:00:00,31.4,121.46,4.0,31.41
953.0,496,28.4,20.0,150.0,12.0,-5.999999999999999,10.392304845413264,,58362,2016-07-25 12:00:00,31.4,121.46,4.0,31.41
942.0,600,27.6,19.6,138.0,11.0,-7.3604366699474415,8.174593080251336,,58362,2016-07-25 12:00:00,31.4,121.46,4.0,31.41
925.0,762,28.8,9.8,120.0,10.0,-8.660254037844387,4.999999999999998,,58362,2016-07-25 12:00:00,31.4,121.46,4.0,31.41
921.0,800,29.0,8.0,117.0,9.0,-8.01905871769531,4.085914497655921,,58362,2016-07-25 12:00:00,31.4,121.46,4.0,31.41
883.0,1172,26.8,6.8,85.0,6.0,-5.977168188550474,-0.5229344564859488,,58362,2016-07-25 12:00:00,31.4,121.46,4.0,31.41
850.0,1508,24.8,5.8,15.0,2.0,-0.5176380902050415,-1.9318516525781366,,58362,2016-07-25 12:00:00,31.4,121.46,4.0,31.41
837.0,1643,23.8,3.8,341.0,3.0,0.9767044633714701,-2.8365557267979504,,58362,2016-07-25 12:00:00,31.4,121.46,4.0,31.41
832.0,1695,23.2,11.2,328.0,3.0,1.589757792699615,-2.5441442884692775,,58362,2016-07-25 12:00:00,31.4,121.46,4.0,31.41
818.0,1843,22.0,10.9,290.0,4.0,3.7587704831436333,-1.368080573302676,,58362,2016-07-25 12:00:00,31.4,121.46,4.0,31.41
802.0,2014,20.6,10.6,282.0,4.0,3.9125904029352223,-0.8316467632710377,,58362,2016-07-25 12:00:00,31.4,121.46,4.0,31.41
772.0,2343,19.4,-2.6,268.0,5.0,4.9969541350954785,0.1744974835125038,,58362,2016-07-25 12:00:00,31.4,121.46,4.0,31.41
757.0,2510,18.2,-2.2,260.0,6.0,5.908846518073248,1.041889066001582,,58362,2016-07-25 12:00:00,31.4,121.46,4.0,31.41
727.0,2854,15.8,-1.5,300.0,2.0,1.7320508075688772,-1.0000000000000002,,58362,2016-07-25 12:00:00,31.4,121.46,4.0,31.41
